updated,md5sum,filesize,original_filename,archive_filename,ra,dec,ifilter,seeing,depth,exposure,obs_night,date_obs,pi_ids,pi,prop_id,release_date,instrument,telescope,site,obs_mode,obs_type,proc_type,prod_type,survey,caldat,collections
2021-09-10T19:32:22.017135+0000,bd565d9609361e141f0694bd30ef3e43,684348480,/data_local/images/DTS/2019A-0337/DECam_01032195.fits.fz,/net/archive/mtn/20210910/ct4m/2019A-0337/c4d_210910_192146_fri.fits.fz,52.6000041666667,-28.1,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-10,2021-09-10T19:21:46.721264+0000,[5011],Trilling,2019A-0337,2021-09-10,decam,ct4m,ct,,dome flat,raw,image,,2021-09-10,[None]
2021-09-13T19:18:35.445731+0000,ea1c415c5c7e97880609414805940ea6,686707200,/data_local/images/DTS/2019A-0305/DECam_01032874.fits.fz,/net/archive/mtn/20210913/ct4m/2019A-0305/c4d_210913_190825_fri.fits.fz,37.0595416666667,-5.44416305555556,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-13,2021-09-13T19:08:25.067803+0000,[4512],Drlica-Wagner,2019A-0305,2021-09-13,decam,ct4m,ct,,dome flat,raw,image,,2021-09-13,[None]
2021-09-12T18:04:22.441277+0000,c9599b40b6afd548119f4b02887bc281,687470400,/data_local/images/DTS/2019A-0337/DECam_01032582.fits.fz,/net/archive/mtn/20210912/ct4m/2019A-0337/c4d_210912_175125_fri.fits.fz,37.0595416666667,-5.44416305555556,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-12,2021-09-12T17:51:25.844714+0000,[5011],Trilling,2019A-0337,2021-09-12,decam,ct4m,ct,,dome flat,raw,image,,2021-09-12,[None]
2021-09-06T05:48:36.488723+0000,c7c2e8082857a8f6016e8f3d93063668,683856000,/data_local/images/DTS/2019A-0337/DECam_01029257.fits.fz,/net/archive/mtn/20210905/ct4m/2019A-0337/c4d_210905_191349_fri.fits.fz,52.6000041666667,-28.1,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-05,2021-09-05T19:13:49.289205+0000,[5011],Trilling,2019A-0337,2021-09-05,decam,ct4m,ct,,dome flat,raw,image,,2021-09-05,[None]
2021-09-10T19:16:19.967899+0000,2c44d1c27eb3f4a7c6b85fd9e7214b3c,684544320,/data_local/images/DTS/2019A-0337/DECam_01032188.fits.fz,/net/archive/mtn/20210910/ct4m/2019A-0337/c4d_210910_190717_fri.fits.fz,52.6000041666667,-28.1,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-10,2021-09-10T19:07:17.569249+0000,[5011],Trilling,2019A-0337,2021-09-10,decam,ct4m,ct,,dome flat,raw,image,,2021-09-10,[None]
2021-09-09T19:32:25.475064+0000,e3881ff2a12e2fce61fc346af96de9b4,684288000,/data_local/images/DTS/2019A-0337/DECam_01031594.fits.fz,/net/archive/mtn/20210909/ct4m/2019A-0337/c4d_210909_192343_fri.fits.fz,52.6000041666667,-28.1,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-09,2021-09-09T19:23:43.805097+0000,[5011],Trilling,2019A-0337,2021-09-09,decam,ct4m,ct,,dome flat,raw,image,,2021-09-09,[None]
2021-09-07T19:20:25.711896+0000,1f08129251a956f90aeb8e17646106fd,685883520,/data_local/images/DTS/2019A-0337/DECam_01030405.fits.fz,/net/archive/mtn/20210907/ct4m/2019A-0337/c4d_210907_191043_fri.fits.fz,338.358329166667,-60.6358330555556,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-07,2021-09-07T19:10:43.393810+0000,[5011],Trilling,2019A-0337,2021-09-07,decam,ct4m,ct,,dome flat,raw,image,,2021-09-07,[None]
2021-09-11T18:04:19.695494+0000,0b1f4dd6a8776f5885f39a1a9359438d,688507200,/data_local/images/DTS/2019A-0337/DECam_01032466.fits.fz,/net/archive/mtn/20210911/ct4m/2019A-0337/c4d_210911_175233_fri.fits.fz,37.0595416666667,-5.44416305555556,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-11,2021-09-11T17:52:33.512904+0000,[5011],Trilling,2019A-0337,2021-09-11,decam,ct4m,ct,,dome flat,raw,image,,2021-09-11,[None]
2021-09-11T18:12:21.925162+0000,9153980a892438f35174b85d587fc3ea,687983040,/data_local/images/DTS/2019A-0337/DECam_01032470.fits.fz,/net/archive/mtn/20210911/ct4m/2019A-0337/c4d_210911_180050_fri.fits.fz,37.0595416666667,-5.44416305555556,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-11,2021-09-11T18:00:50.244083+0000,[5011],Trilling,2019A-0337,2021-09-11,decam,ct4m,ct,,dome flat,raw,image,,2021-09-11,[None]
2021-09-06T19:28:24.012681+0000,d6c11812734c192fd0fc3d8826c1f4ae,685512000,/data_local/images/DTS/2019A-0337/DECam_01029819.fits.fz,/net/archive/mtn/20210906/ct4m/2019A-0337/c4d_210906_191935_fri.fits.fz,338.358329166667,-60.6358330555556,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-06,2021-09-06T19:19:35.599910+0000,[5011],Trilling,2019A-0337,2021-09-06,decam,ct4m,ct,,dome flat,raw,image,,2021-09-06,[None]
